time,volumeAll,volumeAbove,groundedArea,floatingArea,totalArea,groundedPlusLand,ice_mass,SLE,SLEm,difference,LRF,SMA10
34.0,2.586593561451e+16,2.256877907407e+16,12009535000000.0,1628788000000.0,13638323000000.0,12055487000000.0,20695570.41092219,57201.687150144244,-57.201687150144245,,,
35.0,2.585479598989e+16,2.256773697429e+16,12005200000000.0,1633095000000.0,13638295000000.0,12051149000000.0,20694614.80542393,57199.045896694115,-57.199045896694116,0.0026412534501289997,0.00033015668126612496,
36.0,2.584380198636e+16,2.256665595984e+16,12000712000000.0,1637577000000.0,13638289000000.0,12046660000000.0,20693623.51517328,57196.30601208756,-57.19630601208756,0.002739884606555165,0.00034248557581939565,
37.0,2.58329699218e+16,2.256558954452e+16,11996198000000.0,1642109000000.0,13638307000000.0,12042145000000.0,20692645.61232484,57193.60312969829,-57.19360312969829,0.0027028823892720766,0.00033786029865900957,
38.0,2.582232903095e+16,2.25644854427e+16,11991734000000.0,1646593000000.0,13638327000000.0,12037673000000.0,20691633.1509559,57190.804729010226,-57.190804729010225,0.002798400688064362,0.00034980008600804524,
39.0,2.58118938326e+16,2.25632841587e+16,11987254000000.0,1651052000000.0,13638306000000.0,12033193000000.0,20690531.573527902,57187.76001527889,-57.18776001527889,0.003044713731334525,0.00038058921641681565,
40.0,2.580168002314e+16,2.256216343178e+16,11982832000000.0,1655476000000.0,13638308000000.0,12028774000000.0,20689503.86694226,57184.91947745235,-57.18491947745235,0.0028405378265432546,0.0003550672283179068,
41.0,2.579170244683e+16,2.256102567543e+16,11978220000000.0,1660092000000.0,13638312000000.0,12024171000000.0,20688460.54436931,57182.03577769295,-57.18203577769295,0.002883699759394176,0.000360462469924272,
42.0,2.578198410767e+16,2.255999566636e+16,11973609000000.0,1664722000000.0,13638331000000.0,12019541000000.0,20687516.02605212,57179.425168745496,-57.179425168745496,0.002610608947456683,0.00032632611843208537,
43.0,2.577255973996e+16,2.255881896885e+16,11968968000000.0,1669331000000.0,13638299000000.0,12014915000000.0,20686436.994435452,57176.44277068947,-57.17644277068947,0.002982398056026625,0.0003727997570033281,
44.0,2.576339374097e+16,2.255750955913e+16,11964272000000.0,1674023000000.0,13638295000000.0,12010225000000.0,20685236.26572221,57173.12400697129,-57.173124006971285,0.003318763718183959,0.0004148454647729949,0.0003570392896619978
45.0,2.575445218212e+16,2.255631033941e+16,11959548000000.0,1678743000000.0,13638291000000.0,12005496000000.0,20684136.58123897,57170.08452525973,-57.170084525259725,0.0030394817115606543,0.0003799352139450818,0.0003620171429298935
46.0,2.574569465835e+16,2.255499238573e+16,11954868000000.0,1683508000000.0,13638376000000.0,12000806000000.0,20682928.01771441,57166.74410645221,-57.166744106452214,0.003340418807511014,0.00041755235093887677,0.0003695238204418416
47.0,2.573711085588e+16,2.255378842446e+16,11950031000000.0,1688356000000.0,13638387000000.0,11995996000000.0,20681823.985229824,57163.692607047604,-57.1636926070476,0.003051499404612912,0.000381437425576614,0.00037388153313360205
48.0,2.572867028361e+16,2.255260295634e+16,11945443000000.0,1692883000000.0,13638326000000.0,11991408000000.0,20680736.91096378,57160.6879794466,-57.1606879794466,0.003004627601001175,0.0003755784501251469,0.0003764593695453122
49.0,2.572037285077e+16,2.255132602562e+16,11940779000000.0,1697576000000.0,13638355000000.0,11986728000000.0,20679565.96549354,57157.45153536081,-57.157451535360806,0.0032364440857932664,0.0004045555107241583,0.0003788559989760465
